name,epic,yahoo_ticker,sector,fiscal_year,currency,revenue,gross_profit,operating_income,net_income,gross_margin,operating_margin,net_margin,retrieved_at
Harbour Energy,HBR,HBR.L,Oil & Gas Producers,2023,USD,3715000000.0,1339000000.0,1223000000.0,45000000.0,0.3604,0.3292,0.0121,2026-08-10
Harbour Energy,HBR,HBR.L,Oil & Gas Producers,2024,USD,6158000000.0,2545000000.0,2312000000.0,-93000000.0,0.4133,0.3754,-0.0151,2026-08-10
Harbour Energy,HBR,HBR.L,Oil & Gas Producers,2025,USD,10091000000.0,4527000000.0,4133000000.0,-182000000.0,0.4486,0.4096,-0.018,2026-08-10
Harworth Group,HWG,HWG.L,Real Estate,2022,GBP,166685000.0,83393000.0,61247000.0,27838000.0,0.5003,0.3674,0.167,2026-08-10
Harworth Group,HWG,HWG.L,Real Estate,2023,GBP,72427000.0,12350000.0,-15197000.0,37956000.0,0.1705,-0.2098,0.5241,2026-08-10
Harworth Group,HWG,HWG.L,Real Estate,2024,GBP,181585000.0,31077000.0,-3479000.0,57237000.0,0.1711,-0.0192,0.3152,2026-08-10
Harworth Group,HWG,HWG.L,Real Estate,2025,GBP,129749000.0,12552000.0,-23911000.0,9472000.0,0.0967,-0.1843,0.073,2026-08-10
Hays,HAS,HAS.L,Support Services,2022,GBP,6588900000.0,1189400000.0,216700000.0,154200000.0,0.1805,0.0329,0.0234,2026-08-10
Hays,HAS,HAS.L,Support Services,2023,GBP,7583300000.0,1294600000.0,200000000.0,138300000.0,0.1707,0.0264,0.0182,2026-08-10
Hays,HAS,HAS.L,Support Services,2024,GBP,6949100000.0,1113600000.0,69600000.0,-4900000.0,0.1603,0.01,-0.0007,2026-08-10
Helios Towers,HTWS,HTWS.L,Telecomms,2022,USD,560700000.0,194800000.0,104500000.0,-171500000.0,0.3474,0.1864,-0.3059,2026-08-10
Helios Towers,HTWS,HTWS.L,Telecomms,2023,USD,721000000.0,270600000.0,150800000.0,-100100000.0,0.3753,0.2092,-0.1388,2026-08-10
Helios Towers,HTWS,HTWS.L,Telecomms,2024,USD,792000000.0,383100000.0,254800000.0,33500000.0,0.4837,0.3217,0.0423,2026-08-10
Helios Towers,HTWS,HTWS.L,Telecomms,2025,USD,854100000.0,439900000.0,298800000.0,39200000.0,0.515,0.3498,0.0459,2026-08-10
Hikma Pharmaceuticals,HIK,HIK.L,Pharmaceuticals and Biotechnology,2022,USD,2517000000.0,1238000000.0,482000000.0,188000000.0,0.4919,0.1915,0.0747,2026-08-10
Hikma Pharmaceuticals,HIK,HIK.L,Pharmaceuticals and Biotechnology,2023,USD,2875000000.0,1390000000.0,610000000.0,190000000.0,0.4835,0.2122,0.0661,2026-08-10
Hikma Pharmaceuticals,HIK,HIK.L,Pharmaceuticals and Biotechnology,2024,USD,3127000000.0,1415000000.0,612000000.0,359000000.0,0.4525,0.1957,0.1148,2026-08-10
Hikma Pharmaceuticals,HIK,HIK.L,Pharmaceuticals and Biotechnology,2025,USD,3349000000.0,1441000000.0,633000000.0,402000000.0,0.4303,0.189,0.12,2026-08-10
Hill & Smith,HILS,HILS.L,Industrial Engineering,2022,GBP,732100000.0,270500000.0,78500000.0,56700000.0,0.3695,0.1072,0.0774,2026-08-10
Hill & Smith,HILS,HILS.L,Industrial Engineering,2023,GBP,829800000.0,316700000.0,114100000.0,68800000.0,0.3817,0.1375,0.0829,2026-08-10
Hill & Smith,HILS,HILS.L,Industrial Engineering,2024,GBP,855100000.0,341800000.0,115400000.0,76400000.0,0.3997,0.135,0.0893,2026-08-10
Hill & Smith,HILS,HILS.L,Industrial Engineering,2025,GBP,868800000.0,353500000.0,120100000.0,82500000.0,0.4069,0.1382,0.095,2026-08-10
Hilton Food Group,HFG,HFG.L,Food Producers,2022,GBP,3847600000.0,382763000.0,64687000.0,17706000.0,0.0995,0.0168,0.0046,2026-08-10
Hilton Food Group,HFG,HFG.L,Food Producers,2023,GBP,3989500000.0,430300000.0,85500000.0,36400000.0,0.1079,0.0214,0.0091,2026-08-10
