name,epic,yahoo_ticker,sector,fiscal_year,currency,revenue,gross_profit,operating_income,net_income,gross_margin,operating_margin,net_margin,retrieved_at
Harbour Energy,HBR,HBR.L,Oil & Gas Producers,2025,USD,10091000000.0,4527000000.0,4133000000.0,-182000000.0,0.4486,0.4096,-0.018,2026-08-04
Harworth Group,HWG,HWG.L,Real Estate,2025,GBP,129749000.0,12552000.0,-23911000.0,9472000.0,0.0967,-0.1843,0.073,2026-08-04
Hays,HAS,HAS.L,Support Services,2024,GBP,6949100000.0,1113600000.0,69600000.0,-4900000.0,0.1603,0.01,-0.0007,2026-08-04
Helios Towers,HTWS,HTWS.L,Telecomms,2025,USD,854100000.0,439900000.0,298800000.0,39200000.0,0.515,0.3498,0.0459,2026-08-04
Hikma Pharmaceuticals,HIK,HIK.L,Pharmaceuticals and Biotechnology,2025,USD,3349000000.0,1441000000.0,633000000.0,402000000.0,0.4303,0.189,0.12,2026-08-04
Hill & Smith,HILS,HILS.L,Industrial Engineering,2025,GBP,868800000.0,353500000.0,120100000.0,82500000.0,0.4069,0.1382,0.095,2026-08-04
Hilton Food Group,HFG,HFG.L,Food Producers,2025,GBP,4214600000.0,436600000.0,54300000.0,78900000.0,0.1036,0.0129,0.0187,2026-08-04
Hochschild Mining,HOC,HOC.L,Basic Resources,2025,USD,1182148000.0,504209000.0,345380000.0,201900000.0,0.4265,0.2922,0.1708,2026-08-04
Hollywood Bowl Group,BOWL,BOWL.L,Travel and leisure,2025,GBP,250662000.0,156968000.0,59352000.0,34609000.0,0.6262,0.2368,0.1381,2026-08-04
Hunting,HTG,HTG.L,"Oil, Gas and Coal",2025,USD,1018800000.0,279800000.0,68500000.0,41100000.0,0.2746,0.0672,0.0403,2026-08-04
IP Group,IPO,IPO.L,Financial Services,2025,GBP,90600000.0,,,66900000.0,,,0.7384,2026-08-04
ITV,ITV,ITV.L,Media,2025,GBP,3511000000.0,,363000000.0,220000000.0,,0.1034,0.0627,2026-08-04
Ibstock,IBST,IBST.L,Construction & Materials,2025,GBP,372104000.0,95983000.0,15794000.0,3074000.0,0.2579,0.0424,0.0083,2026-08-04
Inchcape,INCH,INCH.L,Retailers,2025,GBP,9100000000.0,1550000000.0,563000000.0,272000000.0,0.1703,0.0619,0.0299,2026-08-04
IntegraFin Holdings,IHP,IHP.L,Financial Services,2025,GBP,156800000.0,153400000.0,103900000.0,51300000.0,0.9783,0.6626,0.3272,2026-08-04
International Personal Finance,IPF,IPF.L,Financial Services,2025,GBP,666200000.0,,,54200000.0,,,0.0814,2026-08-04
International Public Partnerships,INPP,INPP.L,Financial Services,2025,GBP,267760000.0,,,263704000.0,,,0.9849,2026-08-04
International Workplace Group,IWG,IWG.L,Support Services,2025,USD,3762000000.0,1031000000.0,174000000.0,18000000.0,0.2741,0.0463,0.0048,2026-08-04
Investec,INVP,INVP.L,Financial Services,2026,GBP,2190510000.0,,,724507000.0,,,0.3307,2026-08-04
